,Country,Area,Species
365,SOUTH AFRICA,KwaZulu-Natal,Zambesi shark
366,NEW CALEDONIA,North Province,Tiger shark
367,USA,Florida,Sandbar shark
368,USA,Florida,Bull shark
369,AUSTRALIA,Western Australia,Shark
370,NEW ZEALAND,South Island,Bronze whaler shark
371,INDONESIA,Bali,Bull shark
372,USA,Texas,Blacktip shark
373,MEXICO,Quintana Roo,Bull shark
374,AUSTRALIA,New South Wales,Bull shark
375,AUSTRALIA,Queensland,Bull shark
376,AUSTRALIA,South Australia,White shark
377,BAHAMAS,West End,Caribbean reef shark
378,AUSTRALIA,Western Australia,White shark
379,EGYPT,South Sinai Peninsula,Oceanic whitetip shark
380,EGYPT,South Sinai Peninsula,Mako shark
381,EGYPT,South Sinai Peninsula,Mako shark
382,EGYPT,South Sinai Peninsula,Oceanic whitetip shark
383,EGYPT,South Sinai Peninsula,Oceanic whitetip shark
384,AUSTRALIA,Western Australia,White shark
385,AUSTRALIA,Western Australia,White shark
386,USA,Maine,Porbeagle shark
387,USA,California,White shark
388,AUSTRALIA,New South Wales,Bull shark
389,BAHAMAS,Exuma Islands,Lemon shark
390,BAHAMAS,Abaco Islands,On shark
391,USA,Oregon,White shark
392,SOUTH AFRICA,Western Cape Province,White shark
393,AUSTRALIA,Western Australia,White shark
394,USA,California,White shark
395,USA,California,White shark
396,USA,South Carolina,Small blacktip shark
397,USA,North Carolina,Sandtiger shark
398,USA,Florida,Small spinner shark
399,SPAIN,Grand Canary Island,Gel shark
400,USA,Florida,Nurse shark
401,USA,New York,Blue shark
402,USA,Texas,Bull shark
403,USA,Florida,Lemon shark
404,VIETNAM,Binh Dinh Province,Kg shark
405,VIETNAM,Binh Dinh Province,Kg shark
406,USA,Florida,Lemon shark
407,EGYPT,Sinai Peninsula,Oceanic whitetip shark
408,NEW ZEALAND,South Island,Blue shark
409,AUSTRALIA,New South Wales,Wobbegong shark
410,AUSTRALIA,New South Wales,White shark
411,USA,Florida,Spinner shark
412,BRAZIL,Rio Grande Do Sul,Hammerhead shark
413,SOUTH AFRICA,Western Province,White shark
414,AUSTRALIA,Torres Strait,Whitetip reef shark
415,MOZAMBIQUE,Maputo Province,Zambesi shark
416,AUSTRALIA,Queensland,Bull shark
417,NEW ZEALAND,South Island,White shark
418,AUSTRALIA,New South Wales,White shark
419,USA,New Jersey,Sandtiger shark
420,USA,California,Thresher shark
421,AUSTRALIA,Victoria,White shark
422,MOZAMBIQUE,Inhambane Province,Zambesi shark
423,SCOTLAND,Fife,Gel shark
424,AUSTRALIA,Western Australia,Bull shark
425,USA,Florida,Bull shark
426,SOUTH AFRICA,Western Cape Province,White shark
427,USA,California,White shark
428,SOUTH AFRICA,KwaZulu-Natal,White shark
429,USA,Hawaii,Tiger shark
430,USA,Louisiana,Bull shark
431,BAHAMAS,Abaco Islands,Bull shark
432,USA,Florida,Nurse shark
433,AUSTRALIA,New South Wales,Bronze whale shark
